laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
"Lenovo IdeaPad 100 15.6"" Laptop (80QQ00E6US) ",10562544,Lenovo,Windows,i5-5200U,Intel,2,2.2,4,500,HDD,15.6,1365 x 768,Intel HD Graphics 400,Intel,Windows 10 Home 64Bit,579.99
"ASUS F555 15.6"" Laptop",10583299,Asus,Windows,Intel Core i5-6198DU,Intel,2,2.3,8,1024,HDD,15.6,1366 x 768,Intel HD,Intel,Windows 10 Home,629.98
Apple MacBook Air,10389622,Apple,Mac OS,Intel Core i5-5th Generation,Intel,2,1.6,8,128,SSD,13.3,1440 x 900,Intel HD Graphics 6000,Intel,OS X El Capitan,1199.99
Apple MacBook Pro,10528340,Apple,Mac OS,Intel Core i5,Intel,2,2,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 540,Intel,Mac OS Sierra,1899.99
Apple MacBook Pro ,10360522,Apple,Mac OS,Intel Core i5-5th Generation,Intel,2,2.7,8,128,SSD,13.3,2560 x 1600,Intel Iris Graphics 6100,Intel,OS X Yosemite,1549.99
Apple MacBook Pro Laptop w/ Touch Bar,10528334,Apple,Mac OS,Intel Core i5,Intel,2,2.9,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 550,Intel,Mac OS Sierra,2299.99
Apple MacBook Pro,10360535,Apple,Mac OS,Intel Core i7-5th Generation,Intel,4,2.2,16,256,SSD,15.4,2880 x 1800,Intel Iris Pro Graphics,Intel,OS X Yosemite,2449.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar ",10528336,Apple,Mac OS,Intel Core i7,Intel,4,2.6,16,256,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 450 2GB GDDR5,Intel,Mac OS Sierra,2999.99
"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar",10528338,Apple,Mac OS,Intel Core i7,Intel,4,2.7,16,512,SSD,15.4,2880 x 1800,Intel HD Graphics 530; Radeon Pro 455 2GB GDDR5,Intel,Mac OS Sierra,3499.99
Apple MacBook,10389626,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
Apple MacBook Air ,10389623,Apple,Mac OS,Intel Core i5-5th Generation,Intel,2,1.6,8,128,SSD,13.3,1440 x 900,Intel HD Graphics 6000,Intel,OS X El Capitan,1199.99
Apple MacBook Pro,10528339,Apple,Mac OS,Intel Core i5,Intel,2,2,8,256,SSD,13.3,2560 x 1600,Intel Iris Graphics 540,Intel,Mac OS Sierra,1899.99
Apple MacBook,10389628,Apple,Mac OS,Intel Core m3,Intel,2,1.1,8,256,SSD,12,2304 x 1440,Intel HD Graphics 515,Intel,OS X El Capitan,1649.99
